oblast,січень,лютий,березень,квітень,травень,червень,липень,серпень,вересень,жовтень,листопад,грудень
ВІЛ-інфекція,901,970,1042,878,966,1057,940,1032,1002,960,948,936
Туберкульоз,1704,1764,1560,1646,1785,1363,1362,1424,1058,1400,1355,1378
СНІД,261,255,280,223,301,311,226,278,287,274,297,316
Смертей від СНІДУ,113,114,174,99,129,135,79,112,111,121,141,134
